pT,y,fit,y_error_avg,residual,pull
0.9,0.9579,0.8747550798,0.4625141079,0.08314492019,0.1797673169
1.1,0.3553,0.3721469705,0.1691066554,-0.01684697054,-0.09962334423
1.3,0.1445,0.1697760011,0.06779216253,-0.02527600106,-0.3728454753
1.5,0.07326,0.08235918516,0.02967556746,-0.009099185163,-0.3066221118
1.7,0.05266,0.04215174192,0.01464700341,0.01050825808,0.7174339887
1.9,0.02146,0.02260655426,0.006674501105,-0.00114655426,-0.1717812675
2.25,0.007438,0.00836184174,0.002022897647,-0.0009238417398,-0.4566922806
2.75,0.002313,0.002397074851,0.0005322903907,-8.407485099e-05,-0.1579492181
3.25,0.0007801,0.0008041949221,0.0001733311213,-2.40949221e-05,-0.13901094
3.75,0.0003263,0.0003049758233,7.324919453e-05,2.132417672e-05,0.2911182417
4.5,8.035e-05,8.510298826e-05,1.787108282e-05,-4.752988256e-06,-0.2659597241
6,1.148e-05,1.047088732e-05,2.737311455e-06,1.009112676e-06,0.3686510259
8.5,6.566e-07,7.429159379e-07,2.063111485e-07,-8.63159379e-08,-0.4183774775
