# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^-\quad p_\perp$ spectrum
XLabel=$p_\perp$ [GeV]
YLabel=$\frac{1}{2\pi} \frac{\mathrm{d}^2N}{p_\perp \mathrm{d}p_\perp \mathrm{d}y} [\mathrm{GeV}^{-2}]$
DrawOnly=/STAR_2008_S7869363/d02-x01-y01 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y01
LegendOnly=/STAR_2008_S7869363/d02-x01-y01 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.020000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.520000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.130000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.440000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.350000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.690000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.540000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.670000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.020000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.530000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.650000e-02	3.000000e-03	3.000000e-03
# END HISTO1D


# BEGIN HISTO1D //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y01
ScaledBy=6.71232195700903304e-04
Title=star_2008_vs_jpsi_pythia
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.901964e+00	2.920388e-01	2.920388e-01
2.500000e-01	3.000000e-01	1.324785e+00	2.188629e-01	2.188629e-01
3.000000e-01	3.500000e-01	8.010780e-01	1.555057e-01	1.555057e-01
3.500000e-01	4.000000e-01	9.161544e-01	1.559592e-01	1.559592e-01
4.000000e-01	4.500000e-01	5.891932e-01	1.143695e-01	1.143695e-01
4.500000e-01	5.000000e-01	4.720698e-01	9.906008e-02	9.906008e-02
5.000000e-01	5.500000e-01	3.005268e-01	7.396843e-02	7.396843e-02
5.500000e-01	6.000000e-01	3.205166e-01	7.377612e-02	7.377612e-02
6.000000e-01	6.500000e-01	2.524676e-01	6.337671e-02	6.337671e-02
6.500000e-01	7.000000e-01	2.313422e-01	5.809709e-02	5.809709e-02
7.000000e-01	7.500000e-01	8.632800e-02	3.320148e-02	3.320148e-02
7.500000e-01	8.000000e-01	1.614285e-01	4.364942e-02	4.364942e-02
# END HISTO1D

