# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^+\quad p_\perp$ spectrum
XLabel=$p_\perp$ [GeV]
YLabel=$\frac{1}{2\pi} \frac{\mathrm{d}^2N}{p_\perp \mathrm{d}p_\perp \mathrm{d}y} [\mathrm{GeV}^{-2}]$
DrawOnly=/STAR_2008_S7869363/d02-x01-y02 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y02
LegendOnly=/STAR_2008_S7869363/d02-x01-y02 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y02
RatioPlot=1
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y02
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.070000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.540000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.140000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.570000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.380000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.760000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.590000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.730000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.070000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.550000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.950000e-02	3.100000e-03	3.100000e-03
# END HISTO1D


# BEGIN HISTO1D //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y02
LineColor=red
LineStyle=solid
Path=//home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y02
ScaledBy=6.90681884534350668e-04
Title=star_2008_vs_jpsi_pythia
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.671553e+00	2.699396e-01	2.699396e-01
2.500000e-01	3.000000e-01	1.069841e+00	1.999271e-01	1.999271e-01
3.000000e-01	3.500000e-01	1.030947e+00	1.789254e-01	1.789254e-01
3.500000e-01	4.000000e-01	9.481958e-01	1.581703e-01	1.581703e-01
4.000000e-01	4.500000e-01	7.385014e-01	1.322430e-01	1.322430e-01
4.500000e-01	5.000000e-01	3.285672e-01	8.271890e-02	8.271890e-02
5.000000e-01	5.500000e-01	5.194472e-01	1.005724e-01	1.005724e-01
5.500000e-01	6.000000e-01	4.028394e-01	8.427030e-02	8.427030e-02
6.000000e-01	6.500000e-01	1.665031e-01	5.087419e-02	5.087419e-02
6.500000e-01	7.000000e-01	2.767784e-01	6.530182e-02	6.530182e-02
7.000000e-01	7.500000e-01	2.387028e-01	5.806259e-02	5.806259e-02
7.500000e-01	8.000000e-01	1.563607e-01	4.522457e-02	4.522457e-02
# END HISTO1D

