# BEGIN PLOT
Legend=1
LogY=1
Title=$K^-\quad p_\perp$ spectrum
XLabel=$p_\perp$ [GeV]
YLabel=$\frac{1}{2\pi} \frac{\mathrm{d}^2N}{p_\perp \mathrm{d}p_\perp \mathrm{d}y} [\mathrm{GeV}^{-2}]$
DrawOnly=/STAR_2008_S7869363/d02-x01-y03 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y03
LegendOnly=/STAR_2008_S7869363/d02-x01-y03 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y03
RatioPlot=1
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y03
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.430000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.260000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	8.770000e-02	2.400000e-03	2.400000e-03
4.000000e-01	4.500000e-01	7.340000e-02	2.600000e-03	2.600000e-03
4.500000e-01	5.000000e-01	6.170000e-02	6.300000e-03	6.300000e-03
5.000000e-01	5.500000e-01	4.870000e-02	5.000000e-03	5.000000e-03
5.500000e-01	6.000000e-01	4.110000e-02	4.200000e-03	4.200000e-03
6.000000e-01	6.500000e-01	3.700000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	2.860000e-02	2.200000e-03	2.200000e-03
7.000000e-01	7.500000e-01	2.420000e-02	2.700000e-03	2.700000e-03
# END HISTO1D


# BEGIN HISTO1D //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y03
LineColor=red
LineStyle=solid
Path=//home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y03
ScaledBy=5.56776606379993889e-04
Title=star_2008_vs_jpsi_pythia
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.148802e-01	6.642337e-02	6.642337e-02
2.500000e-01	3.000000e-01	1.261929e-01	5.755270e-02	5.755270e-02
3.000000e-01	3.500000e-01	1.025627e-01	5.137051e-02	5.137051e-02
3.500000e-01	4.000000e-01	7.937828e-02	4.071156e-02	4.071156e-02
4.000000e-01	4.500000e-01	7.871692e-02	3.643874e-02	3.643874e-02
4.500000e-01	5.000000e-01	3.614930e-02	2.556232e-02	2.556232e-02
5.000000e-01	5.500000e-01	1.606567e-02	1.606567e-02	1.606567e-02
5.500000e-01	6.000000e-01	4.669304e-02	2.398483e-02	2.398483e-02
6.000000e-01	6.500000e-01	6.791782e-02	3.039030e-02	3.039030e-02
6.500000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.500000e-01	2.451396e-02	1.733640e-02	1.733640e-02
# END HISTO1D

