# BEGIN PLOT
Legend=1
LogY=1
Title=$K^+\quad p_\perp$ spectrum
XLabel=$p_\perp$ [GeV]
YLabel=$\frac{1}{2\pi} \frac{\mathrm{d}^2N}{p_\perp \mathrm{d}p_\perp \mathrm{d}y} [\mathrm{GeV}^{-2}]$
DrawOnly=/STAR_2008_S7869363/d02-x01-y04 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y04
LegendOnly=/STAR_2008_S7869363/d02-x01-y04 //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.520000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.300000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	9.160000e-02	2.500000e-03	2.500000e-03
4.000000e-01	4.500000e-01	7.470000e-02	2.700000e-03	2.700000e-03
4.500000e-01	5.000000e-01	6.260000e-02	6.400000e-03	6.400000e-03
5.000000e-01	5.500000e-01	5.260000e-02	5.400000e-03	5.400000e-03
5.500000e-01	6.000000e-01	4.410000e-02	4.500000e-03	4.500000e-03
6.000000e-01	6.500000e-01	3.810000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	3.060000e-02	2.400000e-03	2.400000e-03
7.000000e-01	7.500000e-01	2.490000e-02	2.800000e-03	2.800000e-03
# END HISTO1D


# BEGIN HISTO1D //home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y04
LineColor=red
LineStyle=solid
Path=//home/weyl/codexdem/pyhtia/rivet_comparison/star_2008_vs_jpsi_pythia.yoda/STAR_2008_S7869363/d02-x01-y04
ScaledBy=5.87767789546965675e-04
Title=star_2008_vs_jpsi_pythia
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.946715e-01	8.712469e-02	8.712469e-02
2.500000e-01	3.000000e-01	9.263690e-02	5.352075e-02	5.352075e-02
3.000000e-01	3.500000e-01	6.553950e-02	3.934871e-02	3.934871e-02
3.500000e-01	4.000000e-01	1.340553e-01	5.498178e-02	5.498178e-02
4.000000e-01	4.500000e-01	5.918134e-02	3.417477e-02	3.417477e-02
4.500000e-01	5.000000e-01	5.328058e-02	3.080189e-02	3.080189e-02
5.000000e-01	5.500000e-01	8.346650e-02	3.739715e-02	3.739715e-02
5.500000e-01	6.000000e-01	1.565395e-02	1.565395e-02	1.565395e-02
6.000000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	7.000000e-01	1.927893e-02	1.409539e-02	1.409539e-02
7.000000e-01	7.500000e-01	2.339836e-02	1.660962e-02	1.660962e-02
# END HISTO1D

