pt_low_GeV_c,pt_high_GeV_c,pt_center_GeV_c,count
0.0,0.1,0.05,2328
0.1,0.2,0.15000000000000002,5059
0.2,0.30000000000000004,0.25,5171
0.30000000000000004,0.4,0.35000000000000003,4189
0.4,0.5,0.45,3082
0.5,0.6,0.55,2159
0.6000000000000001,0.7000000000000001,0.6500000000000001,1456
0.7000000000000001,0.8,0.75,1062
0.8,0.9,0.8500000000000001,730
0.9,1.0,0.95,516
1.0,1.1,1.05,335
1.1,1.2000000000000002,1.1500000000000001,202
1.2000000000000002,1.3000000000000003,1.2500000000000002,183
1.3,1.4000000000000001,1.35,125
1.4000000000000001,1.5000000000000002,1.4500000000000002,89
1.5,1.6,1.55,59
1.6,1.7000000000000002,1.6500000000000001,45
1.7000000000000002,1.8000000000000003,1.7500000000000002,24
1.8,1.9000000000000001,1.85,19
1.9000000000000001,2.0,1.9500000000000002,13
2.0,2.1,2.05,13
2.1,2.2,2.1500000000000004,7
2.2,2.3000000000000003,2.25,6
2.3000000000000003,2.4000000000000004,2.3500000000000005,5
2.4000000000000004,2.5000000000000004,2.45,2
2.5,2.6,2.55,4
2.6,2.7,2.6500000000000004,6
2.7,2.8000000000000003,2.75,5
2.8000000000000003,2.9000000000000004,2.8500000000000005,1
2.9000000000000004,3.0000000000000004,2.95,1
3.0,3.1,3.05,0
3.1,3.2,3.1500000000000004,0
3.2,3.3000000000000003,3.25,2
3.3000000000000003,3.4000000000000004,3.3500000000000005,0
3.4000000000000004,3.5000000000000004,3.45,0
3.5,3.6,3.55,1
3.6,3.7,3.6500000000000004,0
3.7,3.8000000000000003,3.75,0
3.8000000000000003,3.9000000000000004,3.8500000000000005,1
3.9000000000000004,4.0,3.95,0
4.0,4.1,4.05,0
4.1000000000000005,4.2,4.15,0
4.2,4.3,4.25,0
4.3,4.3999999999999995,4.35,0
4.4,4.5,4.45,0
4.5,4.6,4.55,0
4.6000000000000005,4.7,4.65,0
4.7,4.8,4.75,0
4.800000000000001,4.9,4.8500000000000005,0
4.9,5.0,4.95,0
5.0,overflow,,0
